"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","22uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C5,C10","10uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"D1,D2","LED","~","LED_SMD:LED_0603_1608Metric","2",""
"F1","10A","~","FUSE_3557:FUSE_3557-2","1",""
"J1","PWR_IN","~","Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical","1",""
"J2,J5","USB_A_Stacked"," ~","Connector_USB:USB_A_CUI_UJ2-ADH-TH_Horizontal_Stacked","2",""
"J3","Power_check","~","Connector_JST:JST_XA_B02B-XASK-1_1x02_P2.50mm_Vertical","1",""
"J4","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1",""
"MD1,MD2","OKL-T_6-W12N-C","","USB_power:MURATA_OKL-T-6-W12N-C_0","2",""
"R1,R4,R6,R9","1k","~","Resistor_SMD:R_0805_2012Metric","4",""
"R2,R7","330R","~","Resistor_SMD:R_0805_2012Metric","2",""
"R3,R8","10R","~","Resistor_SMD:R_0805_2012Metric","2",""
"R5,R10","200R","~","Resistor_SMD:R_0805_2012Metric","2",""
"R11,R12,R13,R14","10k","~","Resistor_SMD:R_0805_2012Metric","4",""
"SW1","Switch","https://www.we-online.com/components/products/datasheet/450301014042.pdf","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","1",""
